match_id,batsman,bowler,runs,extras,wicket
207334,WW Hinds,A Nel,0,1,0
207334,WW Hinds,A Nel,0,0,0
207334,WW Hinds,A Nel,1,0,0
207334,CH Gayle,A Nel,0,0,0
207334,CH Gayle,A Nel,0,0,0
207334,CH Gayle,A Nel,0,0,1
207334,RR Sarwan,A Nel,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,2,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,2,0,0
207334,RR Sarwan,A Nel,1,0,0
207334,RR Sarwan,M Ntini,4,0,0
207334,RR Sarwan,M Ntini,0,0,0
207334,RR Sarwan,M Ntini,0,0,0
207334,RR Sarwan,M Ntini,0,0,0
207334,RR Sarwan,M Ntini,0,0,0
207334,RR Sarwan,M Ntini,1,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,0
207334,WW Hinds,M Ntini,0,0,1
207334,BC Lara,M Ntini,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,0
207334,RR Sarwan,A Nel,0,0,1
207334,S Chanderpaul,A Nel,0,0,0
207334,BC Lara,M Ntini,2,0,0
207334,BC Lara,M Ntini,0,0,0
207334,BC Lara,M Ntini,0,0,0
207334,BC Lara,M Ntini,0,0,0
207334,BC Lara,M Ntini,1,0,0
207334,S Chanderpaul,M Ntini,0,0,0
207334,BC Lara,A Nel,1,0,0
207334,S Chanderpaul,A Nel,0,0,0
207334,S Chanderpaul,A Nel,0,0,0
207334,S Chanderpaul,A Nel,0,0,0
207334,S Chanderpaul,A Nel,0,0,0
207334,S Chanderpaul,A Nel,0,0,0
207334,BC Lara,M Ntini,2,0,0
207334,BC Lara,M Ntini,0,0,0
207334,BC Lara,M Ntini,0,0,0
207334,BC Lara,M Ntini,0,0,0
